away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
2,17,4,15,129,74,101,53,4,2,12,5,25,159,87,124,67,3,2.9,3.4,2.4,H
0,26,2,6,95,44,205,126,8,1,26,3,13,91,57,162,88,6,2.7,3.2,2.7,A
2,23,3,15,85,50,175,97,5,3,14,4,15,124,77,124,77,3,2.1,3.4,3.5,A
2,10,5,13,160,90,95,57,3,4,11,5,23,112,69,114,68,1,3.1,3.2,2.4,A
4,10,3,11,152,88,76,37,3,1,25,3,14,88,58,158,88,6,13.0,5.0,1.29,H
3,12,4,19,130,70,98,57,3,5,16,2,11,140,86,115,70,3,7.5,4.33,1.44,H
2,22,3,13,89,53,158,90,5,1,12,5,23,146,84,91,51,4,1.67,3.8,5.25,D
0,26,2,6,97,47,185,114,8,7,20,1,17,119,63,127,69,2,1.91,3.4,4.2,H
2,17,5,26,128,78,106,65,3,1,10,7,16,99,51,161,91,2,4.2,3.4,1.91,H
1,22,2,11,98,57,159,92,7,4,21,4,23,142,88,137,81,2,1.44,4.2,8.0,A
2,10,4,11,148,78,97,58,4,2,12,4,23,142,77,128,70,4,3.6,3.3,2.1,A
3,14,4,22,163,99,121,64,3,3,10,6,23,120,72,98,53,1,3.1,3.25,2.38,H
2,22,4,15,150,86,154,94,4,3,13,4,15,119,76,130,79,3,2.5,3.25,2.88,D
2,17,4,15,132,77,101,51,4,4,15,3,11,110,49,108,60,3,3.6,3.3,2.1,H
4,19,4,24,141,84,140,83,2,2,13,3,12,154,80,96,60,5,3.6,3.3,2.1,H
7,18,1,16,110,60,130,71,2,3,12,5,22,154,99,124,68,2,1.8,3.6,4.5,D
4,15,2,9,106,50,121,64,4,2,17,5,24,110,66,114,70,3,2.75,3.25,2.63,D
4,12,4,17,131,83,127,74,2,0,25,3,7,106,53,177,110,7,15.0,5.5,1.25,D
2,12,4,20,143,84,93,50,4,3,12,4,21,129,67,87,47,3,2.6,3.25,2.8,D
5,17,2,11,128,75,121,71,3,1,23,2,10,98,57,160,90,7,7.0,4.2,1.5,A
