away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
1,32,2,10,7,2010-05-02,3,18,2,6,5,1.83,3.8,4.0,A
1,19,2,7,7,2010-05-02,3,15,2,9,5,1.36,4.75,9.5,A
2,17,2,9,6,2010-05-03,4,12,3,11,3,2.1,3.4,3.5,H
1,7,8,22,1,2010-05-03,1,9,6,17,3,4.5,3.6,1.8,D
4,7,4,15,2,2010-05-05,3,9,4,13,3,3.6,3.3,2.1,A
0,19,2,11,8,2010-05-05,2,24,2,10,6,3.8,3.4,2.0,A
3,7,5,13,2,2010-05-09,2,16,3,11,5,13.0,7.0,1.2,H
4,11,3,12,3,2010-05-09,3,15,2,17,5,6.0,4.0,1.57,A
4,11,4,17,2,2010-05-09,1,10,6,17,3,3.3,3.3,2.25,H
0,17,2,11,8,2010-05-09,1,10,8,23,1,1.5,4.2,7.0,H
2,11,5,18,3,2010-05-09,1,32,2,10,7,23.0,10.0,1.1,H
3,11,5,20,2,2010-05-09,5,20,0,10,5,11.0,5.5,1.29,H
2,18,3,8,5,2010-05-09,2,9,7,21,1,1.57,3.8,6.5,D
4,7,3,12,3,2010-05-09,1,19,1,4,8,23.0,8.0,1.13,H
2,20,3,9,5,2010-05-09,1,11,7,22,2,1.91,3.6,4.0,D
2,15,3,10,5,2010-05-09,5,9,3,10,2,3.25,3.4,2.25,H
2,11,6,21,2,2010-08-14,3,13,3,17,4,4.0,3.3,2.0,H
5,16,0,9,5,2010-08-14,4,11,2,10,4,2.5,3.25,2.88,H
2,7,6,17,2,2010-08-14,1,10,6,17,3,3.4,3.3,2.2,D
4,10,5,18,1,2010-08-14,2,12,4,12,4,3.6,3.3,2.1,D
2,20,3,9,5,2010-08-14,0,17,3,14,7,3.0,3.3,2.4,D
3,6,4,15,3,2010-08-14,5,11,2,10,3,3.2,3.25,2.3,H
2,17,3,10,5,2010-08-15,3,16,3,7,4,2.88,3.25,2.5,D
4,11,1,7,5,2010-08-21,4,10,5,18,1,3.4,3.25,2.2,H
5,11,2,10,3,2010-08-21,4,14,1,8,5,7.0,4.0,1.5,D
1,14,3,13,6,2010-08-21,2,7,5,17,3,2.2,3.3,3.4,A
