away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
3,14,4,18,167,59,89,35,3,2,13,4,16,121,50,99,36,4,4.75,3.4,1.85,A
0,7,7,21,126,53,129,41,3,5,9,3,10,125,34,127,42,2,3.2,3.4,2.25,A
1,24,2,7,80,28,175,68,7,4,9,4,13,114,43,107,33,2,1.33,5.25,9.0,H
0,37,0,4,125,39,178,89,10,2,15,3,10,109,32,102,32,5,1.57,4.33,5.5,H
5,6,5,17,116,39,106,41,0,5,8,4,17,125,48,95,32,1,3.0,3.0,2.6,H
3,6,4,8,125,45,92,30,3,4,9,4,18,124,48,117,31,2,3.75,3.1,2.1,D
2,14,3,10,109,35,107,32,5,2,5,6,9,107,40,145,41,2,2.7,3.2,2.7,D
4,9,4,11,131,38,121,41,2,2,13,4,16,169,60,87,35,4,3.4,3.1,2.3,H
2,19,2,9,112,35,135,59,6,0,16,3,10,105,44,116,53,7,2.5,3.2,3.0,D
2,12,5,18,120,52,104,38,3,0,36,1,6,117,37,186,94,9,29.0,11.0,1.08,H
2,17,2,10,113,38,105,48,6,1,8,7,18,152,61,91,27,2,1.85,3.4,4.75,A
3,8,6,18,131,51,117,41,1,3,10,3,10,79,31,92,30,4,7.5,3.8,1.53,A
0,22,2,8,73,27,105,49,8,1,22,3,8,72,25,174,65,6,5.5,4.33,1.57,H
4,10,3,11,121,43,100,30,3,5,5,5,17,104,39,110,37,0,2.7,3.1,2.8,D
4,9,4,16,119,44,90,32,2,0,9,6,20,120,50,131,44,4,5.5,3.75,1.67,A
2,15,3,14,149,51,95,38,5,4,9,3,14,132,44,91,33,3,3.0,3.0,2.6,D
2,5,6,9,98,38,155,44,2,2,12,5,19,118,48,108,41,3,2.7,3.25,2.7,H
0,8,7,21,120,52,144,46,3,5,10,2,10,125,39,97,33,3,4.2,3.5,1.91,A
1,8,7,18,147,59,100,30,2,3,15,2,8,112,34,103,33,5,10.0,5.0,1.33,H
2,10,4,11,83,35,92,29,4,3,18,2,10,115,38,127,55,5,5.5,3.8,1.67,H
