away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
2,16,3,14,5,2010-11-14,4,13,3,12,3,8.5,5.0,1.33,H
0,16,4,15,6,2010-11-14,3,18,3,14,4,5.5,3.75,1.62,A
3,17,4,15,3,2010-11-20,2,18,2,6,6,3.1,3.4,2.25,A
1,26,0,4,9,2010-11-20,0,15,4,14,6,1.62,3.75,5.5,A
3,12,4,15,3,2010-11-20,1,10,5,18,4,2.38,3.4,2.88,H
4,16,2,10,4,2010-11-20,3,18,1,10,6,2.3,3.4,3.0,D
0,13,4,9,6,2010-11-20,3,14,6,29,1,2.8,3.4,2.4,A
2,12,7,23,1,2010-11-20,2,15,3,15,5,3.75,3.5,1.95,A
3,14,4,21,3,2010-11-20,4,13,4,15,2,3.2,3.4,2.2,H
2,16,4,15,4,2010-11-21,1,9,6,17,3,2.2,3.4,3.2,D
2,10,6,19,2,2010-11-21,2,24,5,17,3,6.0,4.0,1.53,A
1,15,4,17,5,2010-11-26,0,14,4,10,6,4.33,3.4,1.85,H
2,14,3,10,5,2010-11-27,4,17,2,11,4,8.0,4.75,1.36,H
3,16,6,28,1,2010-11-27,1,26,0,5,9,9.5,5.5,1.29,H
2,23,5,16,3,2010-11-27,2,13,5,17,3,3.5,3.3,2.1,H
0,14,5,15,5,2010-11-27,0,11,5,18,5,3.25,3.2,2.25,H
3,17,1,9,6,2010-11-27,3,19,4,15,3,2.7,3.3,2.55,D
4,17,3,13,3,2010-11-27,2,14,6,22,2,2.2,3.3,3.25,H
3,17,3,14,4,2010-11-28,2,10,6,19,2,2.45,3.3,2.8,D
2,10,5,17,3,2010-11-28,2,14,5,25,3,4.5,3.75,1.75,H
1,17,6,20,3,2010-12-03,1,9,6,19,3,2.8,3.4,2.4,H
0,15,4,10,6,2010-12-04,2,15,3,13,5,3.4,3.2,2.2,H
1,16,5,18,4,2010-12-04,0,13,6,18,4,2.3,3.4,3.0,H
0,14,4,16,6,2010-12-04,3,17,6,25,1,3.1,3.4,2.25,A
3,21,2,12,5,2010-12-04,4,16,3,15,3,2.1,3.4,3.4,H
3,19,4,15,3,2010-12-04,2,18,6,20,2,3.1,3.5,2.2,D
2,17,4,23,4,2010-12-04,4,16,3,15,3,3.5,3.6,2.0,D
2,11,6,20,2,2010-12-05,3,19,1,11,6,8.0,4.5,1.4,H
1,27,0,5,9,2010-12-05,0,15,5,20,5,1.73,3.75,4.5,A
3,18,5,19,2,2010-12-10,0,12,4,16,6,2.8,3.4,2.4,H
1,8,6,18,3,2010-12-11,3,19,3,13,4,13.0,6.5,1.2,H
