away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
3,9,5,14,2,2010-05-02,3,10,6,16,1,7.5,4.2,1.44,H
2,10,3,10,5,2010-05-02,2,11,5,14,3,2.65,3.1,2.75,D
3,12,4,13,3,2010-05-02,2,17,3,11,5,8.5,4.6,1.36,H
4,16,1,7,5,2010-05-02,6,11,2,12,2,2.15,3.1,3.6,A
3,4,6,16,1,2010-05-02,3,15,3,11,4,6.0,3.6,1.62,A
4,9,4,10,2,2010-05-02,4,7,3,8,3,4.1,3.2,1.91,A
2,12,3,10,5,2010-05-02,1,8,5,9,4,3.2,3.1,2.35,D
4,7,4,12,2,2010-05-05,3,13,4,14,3,2.75,3.0,2.75,A
3,11,5,14,2,2010-05-05,4,10,4,11,2,6.5,3.8,1.55,D
5,4,3,10,2,2010-05-05,3,12,2,9,5,3.9,3.25,2.0,D
4,15,0,5,6,2010-05-05,4,16,1,7,5,5.75,3.6,1.62,H
3,15,3,11,4,2010-05-05,3,16,0,5,7,8.0,4.33,1.4,H
3,10,5,15,2,2010-05-05,3,12,4,13,3,3.6,3.2,2.1,H
2,10,6,15,2,2010-05-05,3,12,3,13,4,2.0,3.3,3.75,D
2,7,5,9,3,2010-05-05,4,13,3,13,3,5.0,3.4,1.75,D
6,11,2,12,2,2010-05-05,3,6,5,16,2,2.6,2.75,2.8,A
2,18,3,11,5,2010-05-05,3,9,5,14,2,2.05,3.2,3.75,A
5,11,3,11,2,2010-05-08,4,15,1,7,5,10.0,4.33,1.36,D
3,5,6,17,1,2010-05-08,3,10,5,14,2,11.0,5.0,1.29,H
3,13,4,14,3,2010-05-08,4,10,5,15,1,3.4,3.2,2.2,H
5,15,2,12,3,2010-05-08,2,11,6,17,2,2.9,3.1,2.5,H
2,18,0,5,8,2010-05-08,2,19,2,9,6,5.25,4.2,1.6,H
3,15,3,13,4,2010-05-08,6,6,2,9,2,3.8,3.3,2.0,H
4,13,2,11,4,2010-05-08,6,9,2,11,2,4.5,3.5,1.8,H
4,13,2,12,4,2010-05-08,3,15,3,11,4,6.0,3.5,1.65,D
3,8,6,16,1,2010-05-08,4,8,3,11,3,4.0,3.2,2.0,A
