away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
3,14,3,14,120,43,116,42,4,2010-02-07,2,18,1,9,113,32,150,64,7,6.0,3.6,1.62,A
2,19,3,16,162,48,128,52,5,2010-02-07,4,9,4,15,175,61,105,37,2,3.3,3.4,2.15,H
1,8,7,20,132,57,121,33,2,2010-02-12,2,16,4,15,157,44,131,50,4,3.75,3.4,2.0,H
2,18,2,12,114,36,144,60,6,2010-02-13,2,28,0,9,111,50,159,75,8,9.0,4.75,1.33,H
2,10,6,16,105,43,134,31,2,2010-02-13,5,12,2,14,165,61,100,40,3,2.4,3.3,2.9,H
3,17,5,16,93,47,163,60,2,2010-02-13,2,9,8,24,125,56,118,38,0,1.8,3.6,4.33,A
3,7,4,12,175,60,98,35,3,2010-02-13,4,10,5,16,136,57,114,41,1,3.75,3.4,2.0,D
4,16,5,23,158,63,155,56,1,2010-02-13,4,25,0,9,82,29,158,67,6,5.5,3.8,1.62,H
5,15,2,10,122,38,138,61,3,2010-02-13,4,16,1,11,122,34,159,53,5,3.1,3.3,2.3,A
3,6,5,16,163,62,90,31,2,2010-02-14,3,15,3,15,128,46,115,42,4,4.5,3.5,1.8,H
4,14,2,13,140,46,104,39,4,2010-02-14,3,13,1,4,96,24,123,41,6,7.0,4.0,1.5,H
1,18,4,16,154,49,125,53,5,2010-02-19,2,10,6,16,103,40,131,30,2,4.2,3.5,1.85,D
1,8,9,27,130,61,118,38,0,2010-02-20,1,18,3,14,113,34,151,63,6,8.0,4.0,1.44,H
3,17,2,14,119,39,152,59,5,2010-02-20,4,13,3,15,134,48,108,38,3,2.25,3.25,3.2,A
3,17,2,12,124,41,128,45,5,2010-02-20,4,16,2,9,126,41,143,66,4,7.5,3.8,1.5,D
5,13,1,13,163,56,101,37,4,2010-02-20,4,7,4,13,179,62,87,32,2,3.75,3.4,2.0,D
1,30,0,9,121,53,158,77,9,2010-02-20,1,9,7,21,131,60,129,37,2,1.36,4.75,8.5,D
5,11,4,16,137,56,109,44,1,2010-02-21,3,5,6,17,172,60,83,24,1,2.75,3.3,2.5,A
4,23,0,10,85,34,166,68,6,2010-02-21,2,21,5,16,91,47,168,62,3,3.2,3.25,2.25,D
2,14,1,3,91,22,127,40,7,2010-02-21,4,15,6,24,162,66,151,56,0,2.63,3.3,2.63,H
