away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
1,12,4,13,100,50,74,43,5,0,26,2,9,64,35,148,73,8,12.0,5.5,1.25,D
3,10,6,19,76,40,60,36,1,0,14,4,11,101,58,98,50,6,5.5,4.0,1.57,H
2,12,5,15,91,47,75,37,3,3,16,2,12,99,52,86,39,5,3.2,3.4,2.2,H
1,24,1,11,80,41,151,97,8,2,18,4,12,78,41,110,50,4,1.44,4.33,7.0,A
1,18,3,11,84,37,95,54,6,1,11,7,20,115,62,65,30,2,2.2,3.4,3.2,D
2,19,2,13,97,51,85,42,6,1,24,2,10,61,34,150,72,7,12.0,5.5,1.25,D
2,11,6,19,106,57,67,30,2,3,9,6,19,84,44,60,38,1,3.5,3.3,2.1,D
1,8,5,16,97,48,76,31,4,1,13,6,18,90,50,73,36,3,3.75,3.4,2.0,D
1,9,8,25,116,56,66,28,1,2,18,5,14,83,42,101,48,3,4.5,3.5,1.8,H
0,8,9,26,116,58,66,29,1,0,16,3,8,95,55,107,57,7,6.5,3.8,1.53,H
1,25,1,12,87,44,155,94,8,3,20,1,12,97,46,81,38,6,1.53,4.0,6.0,D
2,6,5,15,98,50,70,26,3,3,10,5,17,102,52,67,30,2,2.63,3.25,2.63,A
0,18,3,7,88,50,109,56,7,2,17,3,12,86,38,102,55,5,2.6,3.3,2.63,A
4,19,1,12,98,45,79,39,5,0,20,2,6,77,40,112,57,8,4.5,3.75,1.73,D
1,12,6,17,87,48,70,36,3,2,19,4,12,82,42,108,53,4,3.4,3.4,2.1,H
1,19,4,11,81,41,109,56,5,2,24,2,11,66,37,155,72,6,12.0,5.5,1.25,D
2,8,4,15,98,51,77,32,4,3,23,2,11,64,37,155,72,5,13.0,6.5,1.2,H
0,6,9,28,116,57,64,28,1,1,12,6,17,82,48,73,40,3,4.5,3.5,1.8,A
3,10,5,17,104,56,66,30,2,5,18,1,13,103,46,78,41,4,5.0,3.75,1.67,A
2,22,1,13,90,46,147,85,7,1,17,4,13,90,38,96,52,5,1.62,3.75,5.5,A
1,16,5,17,98,50,92,45,4,3,22,2,10,59,32,152,71,5,10.0,5.25,1.29,H
0,8,8,27,120,61,66,33,2,3,8,6,18,80,42,59,36,1,2.75,3.3,2.5,A
2,10,4,13,110,53,70,41,4,1,13,6,17,78,50,77,45,3,2.75,3.3,2.5,D
2,19,3,10,80,36,91,48,5,4,18,2,14,105,51,78,37,4,3.2,3.25,2.25,A
1,20,1,5,64,33,115,54,8,3,11,4,15,101,48,65,33,3,1.91,3.4,4.0,A
3,12,3,11,105,51,71,42,4,0,9,7,26,112,57,66,35,3,2.5,3.3,2.75,D
1,13,6,17,94,48,80,35,3,2,6,7,17,79,43,57,32,1,2.3,3.4,3.0,D
2,13,6,18,76,50,84,52,2,1,21,1,5,69,36,116,58,8,5.0,4.0,1.62,H
3,21,2,9,47,24,134,59,5,2,23,1,12,94,46,148,90,7,3.75,3.3,2.0,A
4,17,3,16,108,53,78,36,3,2,6,5,17,102,55,67,28,3,2.7,3.25,2.6,H
